ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
342,20,0,54,814.0,760.0,20.0,
343,20,1386,1440,814.0,760.0,20.0,
344,20,1386,1440,814.0,760.0,20.0,
345,20,0,54,814.0,760.0,20.0,
346,20,1386,1440,814.0,760.0,20.0,
347,20,1386,1440,814.0,760.0,20.0,
348,20,0,54,814.0,760.0,20.0,
349,20,1386,1440,814.0,760.0,20.0,
350,20,1386,1440,814.0,760.0,20.0,
351,20,1386,1440,814.0,760.0,20.0,
352,20,1386,1440,814.0,760.0,20.0,
353,20,1386,1440,814.0,760.0,20.0,
354,20,1386,1440,814.0,760.0,20.0,
355,20,1386,1440,814.0,760.0,20.0,
356,20,1386,1440,814.0,760.0,20.0,
357,20,1386,1440,814.0,760.0,20.0,
358,20,1386,1440,814.0,760.0,20.0,
359,20,1386,1440,814.0,760.0,20.0,
360,20,1386,1440,814.0,760.0,20.0,
361,20,1386,1440,814.0,760.0,20.0,
362,20,1386,1440,814.0,760.0,20.0,
363,20,0,54,814.0,760.0,20.0,
364,20,1386,1440,814.0,760.0,20.0,
365,20,1386,1440,814.0,760.0,20.0,
366,20,0,54,814.0,760.0,20.0,
367,20,1386,1440,814.0,760.0,20.0,
368,20,1386,1440,814.0,760.0,20.0,
369,20,0,54,814.0,760.0,20.0,
370,20,1386,1440,814.0,760.0,20.0,
371,20,624,678,814.0,760.0,20.0,
372,20,0,54,814.0,760.0,20.0,
373,20,1,55,814.0,760.0,20.0,
374,32,0,66,814.0,760.0,20.0,
375,20,1,55,814.0,760.0,20.0,
376,32,0,66,814.0,760.0,20.0,
377,20,500,554,814.0,760.0,20.0,
378,20,0,54,814.0,760.0,20.0,
379,20,74,128,814.0,760.0,20.0,
380,20,38,92,814.0,760.0,20.0,
381,20,0,54,814.0,760.0,20.0,
382,20,46,100,814.0,760.0,20.0,
383,20,46,100,814.0,760.0,20.0,
384,20,0,54,814.0,760.0,20.0,
385,20,1,55,814.0,760.0,20.0,
386,32,0,66,814.0,760.0,20.0,
388,20,1,55,814.0,760.0,20.0,
389,32,0,66,814.0,760.0,20.0,
390,20,1,55,814.0,760.0,20.0,
391,32,0,66,814.0,760.0,20.0,
392,20,46,100,814.0,760.0,20.0,
393,20,0,54,814.0,760.0,20.0,
394,20,60,114,814.0,760.0,20.0,
395,20,46,100,814.0,760.0,20.0,
396,20,31,85,814.0,760.0,20.0,
397,20,0,54,814.0,760.0,20.0,
398,20,0,54,814.0,760.0,20.0,
399,20,0,54,814.0,760.0,20.0,
