ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
214,8,1350,1392,932.0,890.0,8.0,
215,8,1350,1392,932.0,890.0,8.0,
216,8,43,85,932.0,890.0,8.0,
217,8,1350,1392,932.0,890.0,8.0,
218,8,1350,1392,932.0,890.0,8.0,
219,8,43,85,932.0,890.0,8.0,
220,8,1350,1392,932.0,890.0,8.0,
221,8,1350,1392,932.0,890.0,8.0,
222,8,43,85,932.0,890.0,8.0,
223,8,1350,1392,932.0,890.0,8.0,
224,8,1350,1392,932.0,890.0,8.0,
225,8,43,85,932.0,890.0,8.0,
226,8,1350,1392,932.0,890.0,8.0,
227,8,1350,1392,932.0,890.0,8.0,
228,8,43,85,932.0,890.0,8.0,
229,8,1350,1392,932.0,890.0,8.0,
230,8,89,131,932.0,890.0,8.0,
231,8,1350,1392,932.0,890.0,8.0,
232,8,46,88,932.0,890.0,8.0,
233,8,1350,1392,932.0,890.0,8.0,
234,8,1350,1392,932.0,890.0,8.0,
235,8,41,83,932.0,890.0,8.0,
236,8,1350,1392,932.0,890.0,8.0,
237,8,1350,1392,932.0,890.0,8.0,
238,8,1350,1392,932.0,890.0,8.0,
239,8,1350,1392,932.0,890.0,8.0,
240,8,41,83,932.0,890.0,8.0,
241,8,41,83,932.0,890.0,8.0,
242,8,1350,1392,932.0,890.0,8.0,
243,8,1350,1392,932.0,890.0,8.0,
244,8,41,83,932.0,890.0,8.0,
245,8,1350,1392,932.0,890.0,8.0,
246,8,1350,1392,932.0,890.0,8.0,
247,8,41,83,932.0,890.0,8.0,
248,8,1350,1392,932.0,890.0,8.0,
249,8,1350,1392,932.0,890.0,8.0,
250,8,41,83,932.0,890.0,8.0,
251,8,1350,1392,932.0,890.0,8.0,
252,8,1350,1392,932.0,890.0,8.0,
253,8,41,83,932.0,890.0,8.0,
254,8,1350,1392,932.0,890.0,8.0,
255,8,1350,1392,932.0,890.0,8.0,
256,8,41,83,932.0,890.0,8.0,
257,8,1350,1392,932.0,890.0,8.0,
258,8,1350,1392,932.0,890.0,8.0,
259,8,41,83,932.0,890.0,8.0,
260,8,1350,1392,932.0,890.0,8.0,
261,8,1350,1392,932.0,890.0,8.0,
262,8,41,83,932.0,890.0,8.0,
263,8,1350,1392,932.0,890.0,8.0,
264,8,1350,1392,932.0,890.0,8.0,
265,8,41,83,932.0,890.0,8.0,
266,8,1350,1392,932.0,890.0,8.0,
267,8,1350,1392,932.0,890.0,8.0,
268,8,43,85,932.0,890.0,8.0,
269,8,1350,1392,932.0,890.0,8.0,
270,8,1350,1392,932.0,890.0,8.0,
271,8,43,85,932.0,890.0,8.0,
272,8,1350,1392,932.0,890.0,8.0,
273,8,1350,1392,932.0,890.0,8.0,
274,8,43,85,932.0,890.0,8.0,
275,8,1350,1392,932.0,890.0,8.0,
276,8,1350,1392,932.0,890.0,8.0,
277,8,43,85,932.0,890.0,8.0,
278,8,1350,1392,932.0,890.0,8.0,
279,8,1350,1392,932.0,890.0,8.0,
280,8,43,85,932.0,890.0,8.0,
281,8,1350,1392,932.0,890.0,8.0,
282,8,1350,1392,932.0,890.0,8.0,
283,8,43,85,932.0,890.0,8.0,
284,8,1350,1392,932.0,890.0,8.0,
285,8,1350,1392,932.0,890.0,8.0,
286,8,43,85,932.0,890.0,8.0,
287,8,1350,1392,932.0,890.0,8.0,
288,8,1350,1392,932.0,890.0,8.0,
289,8,43,85,932.0,890.0,8.0,
290,8,1350,1392,932.0,890.0,8.0,
291,8,1350,1392,932.0,890.0,8.0,
292,8,43,85,932.0,890.0,8.0,
293,8,1350,1392,932.0,890.0,8.0,
294,8,1350,1392,932.0,890.0,8.0,
295,8,43,85,932.0,890.0,8.0,
296,8,1350,1392,932.0,890.0,8.0,
297,8,1350,1392,932.0,890.0,8.0,
298,8,43,85,932.0,890.0,8.0,
299,8,1350,1392,932.0,890.0,8.0,
300,8,1350,1392,932.0,890.0,8.0,
301,8,43,85,932.0,890.0,8.0,
302,8,1350,1392,932.0,890.0,8.0,
303,8,1350,1392,932.0,890.0,8.0,
304,8,43,85,932.0,890.0,8.0,
305,8,1350,1392,932.0,890.0,8.0,
306,8,1350,1392,932.0,890.0,8.0,
307,8,43,85,932.0,890.0,8.0,
308,8,1350,1392,932.0,890.0,8.0,
309,8,1350,1392,932.0,890.0,8.0,
310,8,43,85,932.0,890.0,8.0,
311,8,1350,1392,932.0,890.0,8.0,
312,8,1350,1392,932.0,890.0,8.0,
313,8,43,85,932.0,890.0,8.0,
314,8,1350,1392,932.0,890.0,8.0,
315,8,1350,1392,932.0,890.0,8.0,
316,8,43,85,932.0,890.0,8.0,
317,8,1350,1392,932.0,890.0,8.0,
318,8,1350,1392,932.0,890.0,8.0,
319,8,43,85,932.0,890.0,8.0,
320,8,1350,1392,932.0,890.0,8.0,
321,8,1350,1392,932.0,890.0,8.0,
322,8,43,85,932.0,890.0,8.0,
323,8,1350,1392,932.0,890.0,8.0,
324,8,1350,1392,932.0,890.0,8.0,
325,8,43,85,932.0,890.0,8.0,
326,8,1350,1392,932.0,890.0,8.0,
327,8,1350,1392,932.0,890.0,8.0,
328,8,43,85,932.0,890.0,8.0,
329,8,1350,1392,932.0,890.0,8.0,
330,8,1350,1392,932.0,890.0,8.0,
331,8,43,85,932.0,890.0,8.0,
332,8,1350,1392,932.0,890.0,8.0,
